,Climate Change,Pollution & Waste,Corporate Governance,Natural Capital,Product Liability,Human Capital,Business Ethics & Values,Community Relations,Non-ESG,Open price
Climate Change,1.0,0.7946077527407234,0.4749123534323284,0.8269598101711017,0.8899975327940255,0.4218773295941068,0.6927318444402094,0.9132117378846403,0.8868189038863036,-0.35713696336347367
Pollution & Waste,0.7946077527407234,1.0,0.5013252188469043,0.7758635370653388,0.7798332658713787,0.5328701061145003,0.5387122005187333,0.7797372405434099,0.7339015210739358,-0.5064509203521005
Corporate Governance,0.4749123534323284,0.5013252188469043,1.0,0.5001846556680487,0.4876212059071444,0.3645477726221474,0.31461469740526404,0.5510917464973559,0.41677333966542746,-0.2829859245409403
Natural Capital,0.8269598101711017,0.7758635370653388,0.5001846556680487,1.0,0.7551213881873705,0.39645421695413346,0.5573931589871279,0.8884364386065983,0.7404321619642873,-0.4394633284406697
Product Liability,0.8899975327940255,0.7798332658713787,0.4876212059071444,0.7551213881873705,1.0,0.4741420594239731,0.7039724499161308,0.8742934485262354,0.8679481091329315,-0.48970512624771234
Human Capital,0.4218773295941068,0.5328701061145003,0.3645477726221474,0.39645421695413346,0.4741420594239731,1.0,0.32618809652899877,0.3697748643086403,0.40384570128949693,-0.23177928639880332
Business Ethics & Values,0.6927318444402094,0.5387122005187333,0.31461469740526404,0.5573931589871279,0.7039724499161308,0.32618809652899877,1.0,0.6997653119745384,0.6421475908046088,-0.3392325177928864
Community Relations,0.9132117378846403,0.7797372405434099,0.5510917464973559,0.8884364386065983,0.8742934485262354,0.3697748643086403,0.6997653119745384,1.0,0.8553137150152388,-0.47755693997260146
Non-ESG,0.8868189038863036,0.7339015210739358,0.41677333966542746,0.7404321619642873,0.8679481091329315,0.40384570128949693,0.6421475908046088,0.8553137150152388,1.0,-0.46573436033133203
Open price,-0.35713696336347367,-0.5064509203521005,-0.2829859245409403,-0.4394633284406697,-0.48970512624771234,-0.23177928639880332,-0.3392325177928864,-0.47755693997260146,-0.46573436033133203,1.0
